scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,risk_adjusted_return,expense_efficiency,return_consistency,sip_type,returns_3yr_score,returns_5yr_score,sharpe_score,alpha_score,expense_ratio_score,beta_score,return_score,alpha_beta_score,final_score,rank
Aditya Birla Sl Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7,4.0,22.94,11.333333333333334,High SIP,0.3039647577092511,0.5421245421245421,0.47926267281105994,0.30098522167487685,0.5907335907335907,0.11084010840108405,0.4230446499168966,0.22492717636535972,0.44649286866717225,336.0
Aditya Birla Sl Fp Fof – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,2.5,21.7,10.7,3.6166666666666667,21.48,11.633333333333333,Affordable SIP,0.27019089574155647,0.5421245421245421,0.511520737327189,0.369704433497537,0.915057915057915,0.11490514905149052,0.4061577189330493,0.26778471971911844,0.533699421761004,97.0
Aditya Birla Sl Fp Fof – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,Fofs Domestic,4.7,13.3,8.2,3.325,12.96,8.733333333333333,Affordable SIP,0.14684287812041116,0.4505494505494505,0.5506912442396313,0.37684729064039413,0.8687258687258688,0.12682926829268293,0.29869616433493085,0.27684008170130964,0.48832419401856225,188.0
Aditya Birla Sl Fp Fof – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,3.7,17.3,9.4,3.46,16.94,10.133333333333333,Affordable SIP,0.2055800293685756,0.4945054945054945,0.5207373271889401,0.3706896551724138,0.8610038610038611,0.12086720867208678,0.3500427619370351,0.270760676572283,0.5000296369494098,157.0
Aditya Birla Sl Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,4.383333333333334,25.27,12.833333333333334,Affordable SIP,0.33773861967694563,0.5384615384615384,0.5092165898617511,0.34778325123152715,0.6023166023166022,0.11084010840108405,0.43810007906924203,0.2530059940993499,0.46561339929410006,264.0
Aditya Birla Sl Global Emerging Oppt Fund,100,100,0.7,261.0,10,Vinod Narayan Bhat,0.98,2.0,16.64,0.865,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,Fofs Overseas,-5.7,18.8,8.3,3.1333333333333333,18.1,7.133333333333334,Affordable SIP,0.2276064610866373,0.45421245421245426,0.35023041474654376,0.3783251231527094,0.7297297297297298,0.11314363143631434,0.3409094576495458,0.2722525264661514,0.42968017741148223,415.0
Aditya Birla Sl Gold Fund,100,100,0.15,278.0,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,Fofs Domestic,11.8,12.1,13.2,2.42,11.95,12.366666666666665,Affordable SIP,0.1292217327459618,0.6336996336996337,0.2926267281105991,0.31502463054187196,0.9420849420849421,0.11029810298102982,0.38146068322279775,0.2331340195175351,0.4816009573601047,219.0
Aditya Birla Sl Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0,2.0,5.71,5.866666666666667,High SIP,0.039647577092511016,0.4432234432234432,0.32027649769585254,0.3559113300492611,0.888030888030888,0.1168021680216802,0.2414355101579771,0.26026766523822875,0.4216773753958177,452.0
Aditya Birla Sl Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium To Long Duration Funds,3.5,7.1,7.7,2.3666666666666667,6.609999999999999,6.1000000000000005,High SIP,0.05580029368575623,0.43223443223443225,0.33640552995391704,0.3706896551724138,0.8108108108108107,0.0956639566395664,0.24401736296009424,0.26067937575927486,0.40669266024141504,504.0
Aditya Birla Sl India Gennext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3,4.166666666666667,24.18,14.300000000000002,High SIP,0.3186490455212922,0.6373626373626374,0.5184331797235022,0.41108374384236457,0.6833976833976834,0.11517615176151763,0.4780058414419648,0.2927207070100258,0.5096464994224111,139.0
Aditya Birla Sl Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,5.933333333333334,33.9,19.433333333333334,High SIP,0.474302496328928,0.4871794871794871,0.511520737327189,0.4369458128078818,0.3436293436293436,0.11355013550135507,0.4807409917542076,0.3075875418852711,0.42664601135724745,432.0
Aditya Birla Sl Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108.0,10,Vinod Narayan Bhat,1.28,2.0,13.99,0.865,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4,2.9499999999999997,15.95,9.666666666666666,High SIP,0.21145374449339205,0.5311355311355311,0.37557603686635943,0.3783251231527094,0.32432432432432434,0.11314363143631434,0.3712946378144616,0.2722525264661514,0.3455520225500603,613.0
Aditya Birla Sl Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,3.783333333333333,20.55,8.733333333333334,High SIP,0.2848751835535976,0.4285714285714286,0.4516129032258064,0.28152709359605915,0.16988416988416988,0.11300813008130084,0.3567233060625131,0.21411950819015582,0.3076008717697324,637.0
Aditya Birla Sl Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,1.4666666666666668,4.19,5.166666666666667,Affordable SIP,0.016152716593245242,0.34798534798534797,0.43317972350230416,0.3657635467980296,0.9189189189189189,0.11490514905149052,0.1820690322892966,0.26542018769941395,0.4290063155008213,419.0
Aditya Birla Sl Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,4.76,3.33,0.97,1.0,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0,2.1666666666666665,6.11,6.3999999999999995,Affordable SIP,0.046989720998531576,0.4065934065934066,0.6612903225806451,0.41108374384236457,0.8494208494208494,0.10948509485094848,0.2267915637959691,0.29044428424579816,0.47889654502659873,229.0
Aditya Birla Sl Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,3.6166666666666667,20.14,8.533333333333333,High SIP,0.27019089574155647,0.3992673992673993,0.4608294930875576,0.287192118226601,0.39768339768339767,0.11409214092140918,0.3347291475044779,0.2179521273045243,0.35817122613583074,608.0
Aditya Birla Sl Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina Da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,3.625,13.64,15.066666666666668,High SIP,0.16446402349486047,0.4652014652014652,0.4032258064516129,0.5667487684729065,0.667953667953668,0.10623306233062335,0.31483274434816283,0.38254248601599317,0.43094804892040367,406.0
Aditya Birla Sl Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3,4.666666666666667,26.8,10.9,High SIP,0.3627019089574155,0.45421245421245426,0.543778801843318,0.3091133004926109,0.5366795366795367,0.11246612466124661,0.4084571815849349,0.23045443016006517,0.44087668169653155,364.0
Aditya Birla Sl Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,1.8666666666666665,5.39,5.866666666666667,High SIP,0.033773861967694566,0.38461538461538464,0.6359447004608295,0.40443349753694585,0.9189189189189189,0.10108401084010843,0.2091946232915396,0.2830937028582109,0.48306057456724305,212.0
Aditya Birla Sl Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,4.25,25.18,12.6,High SIP,0.32599118942731276,0.575091575091575,0.4861751152073732,0.3076354679802956,0.8764478764478765,0.1097560975609756,0.4505413822594439,0.2284837198125676,0.5308361030291064,105.0
Aditya Birla Sl Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3,4.966666666666667,28.68,12.366666666666665,High SIP,0.38913362701908955,0.3076923076923077,0.5023041474654378,0.4130541871921183,0.5675675675675675,0.1097560975609756,0.3484129673556986,0.2917349513396612,0.42547815102820813,435.0
Aditya Birla Sl Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,3.475,12.98,8.366666666666667,Affordable SIP,0.15565345080763582,0.4285714285714286,0.6682027649769585,0.469704433497537,0.6447876447876448,0.12032520325203255,0.2921124396895322,0.3299527413993352,0.4611753512780161,279.0
Aditya Birla Sl Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,1.9333333333333333,5.46,5.933333333333334,High SIP,0.036710719530102784,0.3882783882783883,0.6405529953917051,0.394088669950739,0.8687258687258688,0.11327913279132795,0.21249455390424554,0.2817648550869746,0.4725546160845526,249.0
Aditya Birla Sl Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,2.6,7.42,6.966666666666666,High SIP,0.06607929515418501,0.4285714285714286,0.5506912442396313,0.45000000000000007,0.8532818532818532,0.10216802168021677,0.2473253618628068,0.3108672086720867,0.46901893821432533,259.0
Aditya Birla Sl Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,5.266666666666667,30.560000000000002,11.566666666666668,High SIP,0.41556534508076354,0.34798534798534797,0.5368663594470046,0.31108374384236454,0.5984555984555984,0.11246612466124661,0.3817753465330558,0.23163669616991736,0.4444428145420105,352.0
Aditya Birla Sl Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Elss Mutual Funds,-3.0,16.1,5.8,2.6833333333333336,15.170000000000002,6.300000000000001,Affordable SIP,0.18795888399412627,0.3626373626373626,0.380184331797235,0.1399014778325123,0.640926640926641,0.11300813008130084,0.27529812331574444,0.1291441387320277,0.3657593967272092,597.0
Axis Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,4.9,4.590000000000001,5.366666666666667,High SIP,0.023494860499265788,0.35531135531135527,0.467741935483871,0.36379310344827587,0.8803088803088803,0.12466124661246614,0.18940310790531054,0.268140360713952,0.42960790444321134,416.0
Axis Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,1.2,12.4,8.0,2.066666666666667,11.700000000000001,7.2,High SIP,0.13362701908957414,0.4432234432234432,0.4308755760368663,0.29876847290640396,0.7297297297297298,0.12222222222222223,0.28842523115650864,0.22814997263273126,0.4182001359973188,466.0
Axis Banking & Psu Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking And Psu Mutual Funds,4.5,6.4,7.2,2.1333333333333333,6.07,6.033333333333334,High SIP,0.045521292217327466,0.4139194139194139,0.4447004608294931,0.4233990147783252,0.8725868725868726,0.09268292682926826,0.2297203530683707,0.2911125795987024,0.44264183847977046,358.0
Axis Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,2.8833333333333333,16.67,7.766666666666667,Affordable SIP,0.2055800293685756,0.5934065934065934,0.39631336405529954,0.18201970443349755,0.7567567567567568,0.11246612466124661,0.3994933113875845,0.15419827252459717,0.4513789274339725,314.0
Axis Children’S Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,2.966666666666667,16.740000000000002,7.133333333333333,High SIP,0.21292217327459617,0.5201465201465202,0.44239631336405527,0.2896551724137931,0.5907335907335907,0.11327913279132795,0.3665343467105582,0.21910475656480705,0.4156421125251531,479.0
Axis Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,2.5,7.28,6.566666666666666,High SIP,0.06167400881057268,0.41758241758241754,0.4838709677419355,0.38965517241379316,0.915057915057915,0.11842818428184287,0.2396282131964951,0.28116437716101306,0.4635646141656159,274.0
Axis Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,1.85,6.59,6.533333333333334,High SIP,0.06020558002936857,0.3992673992673993,0.5967741935483871,0.4083743842364532,0.6872586872586872,0.12953929539295395,0.22973648964838395,0.2968403486990535,0.4275901586885608,430.0
Axis Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,2.1666666666666665,6.24,5.866666666666667,High SIP,0.046989720998531576,0.43223443223443225,0.2926267281105991,0.35862068965517246,0.8996138996138996,0.08672086720867211,0.23961207661648193,0.2498607606765723,0.41675276527367333,474.0
Axis Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,3.175,11.819999999999999,7.633333333333333,High SIP,0.13803230543318645,0.4725274725274725,0.46313364055299533,0.34532019704433503,0.6602316602316602,0.1051490514905149,0.3052798889803295,0.249251738822807,0.41718435958406697,473.0
Axis Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,2.983333333333333,17.2,7.3,Affordable SIP,0.21439060205580024,0.6007326007326008,0.4009216589861751,0.18177339901477832,0.7297297297297298,0.11246612466124661,0.4075616013942005,0.15405048927336562,0.4487489781783525,324.0
Axis Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,2.466666666666667,14.06,3.0000000000000004,Affordable SIP,0.16886930983847281,0.47619047619047616,0.35944700460829493,0.06625615763546794,0.7142857142857143,0.10840108401084014,0.3225298930144745,0.08311412818561681,0.3919399059267199,550.0
Axis Ftp – Series 104 – 1112Days,0,0,0.13,110.0,4,Devang Shah,7.27,5.29,12.52,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,7.25,14.37,13.233333333333334,Affordable SIP,0.16446402349486047,0.6630036630036631,0.6935483870967741,0.45935960591133007,0.9498069498069498,0.07262872628726291,0.41373384324926177,0.3046672540617032,0.5873550402800525,34.0
Axis Ftp – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,2.925,2.0,12.52,0.865,1.3,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,4.833333333333333,14.5,13.233333333333334,Affordable SIP,0.16446402349486047,0.6630036630036631,0.48847926267281105,0.3783251231527094,1.0,0.11314363143631434,0.41373384324926177,0.2722525264661514,0.5540272688041897,64.0
Axis Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9,1.9666666666666668,5.510000000000001,5.933333333333334,High SIP,0.03817914831130691,0.43956043956043955,0.32718894009216587,0.3559113300492611,0.8494208494208494,0.1214092140921409,0.23886979393587324,0.26211048366641304,0.4126574904979568,492.0
Axis Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,Fofs Domestic,14.5,12.0,13.7,2.4,11.83,13.4,High SIP,0.1277533039647577,0.652014652014652,0.3018433179723502,0.32807881773399017,0.9343629343629344,0.11029810298102982,0.38988397798970487,0.24096653183280603,0.48605796815600655,200.0
Axis Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4,2.15,4.1499999999999995,5.133333333333334,Affordable SIP,0.014684287812041119,0.34798534798534797,0.41013824884792627,0.36379310344827587,0.9420849420849421,0.11544715447154474,0.18133481789869454,0.2644547238575834,0.4297510210289361,414.0
Axis Long Term Equity Fund,500,500,0.85,28754.0,10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,Elss Mutual Funds,-11.1,15.7,9.4,2.6166666666666667,14.85,4.666666666666667,Affordable SIP,0.1820851688693098,0.4945054945054945,0.3617511520737327,0.08325123152709357,0.6718146718146718,0.10894308943089437,0.33829533168740217,0.0935279746886139,0.3896512272466674,554.0
